Date,Open,High,Low,Close
2018-11-29 00:00:00-05:00,104.769074332185,105.519257086357,103.534594914971,104.636131286621
2018-11-30 00:00:00-05:00,105.120370784839,105.376765997278,103.847914454463,105.300796508789
2018-12-03 00:00:00-05:00,107.30445961233,107.703288608408,105.14887763794,106.440322875977
2018-12-04 00:00:00-05:00,106.297913281516,106.962628426046,102.755912524614,103.050285339355
2018-12-06 00:00:00-05:00,100.486370783433,103.733991319007,99.707701405111,103.686515808105
2018-12-07 00:00:00-05:00,102.917337241349,103.933405909286,99.0429863478608,99.5367736816406
2018-12-10 00:00:00-05:00,99.5177753387424,102.53749429611,98.653638531814,102.167144775391
2018-12-11 00:00:00-05:00,104.265763854718,105.35779471731,102.024714132525,103.116744995117
2018-12-12 00:00:00-05:00,105.300822582968,105.66166687537,103.544069384533,103.582054138184
2018-12-13 00:00:00-05:00,104.056878194153,105.281859631407,103.154756374777,103.93342590332
2018-12-14 00:00:00-05:00,102.79389798097,103.752993191614,100.182505653509,100.685791015625
2018-12-17 00:00:00-05:00,100.097060430971,100.467402818956,96.583545878882,97.7040710449219
2018-12-18 00:00:00-05:00,98.5207093443608,99.2424052437792,97.3527016024712,98.729621887207
2018-12-19 00:00:00-05:00,98.4257374769289,101.492931947264,96.2416613241473,98.4637222290039
2018-12-20 00:00:00-05:00,97.8559885640589,99.0524757489238,93.8012047030186,96.3936080932617
2018-12-21 00:00:00-05:00,96.507547265048,97.8084978543639,92.5477292363102,93.278923034668
2018-12-24 00:00:00-05:00,92.7566628506528,93.0320469319786,89.2431558031066,89.3855895996094
2018-12-26 00:00:00-05:00,90.3446708617727,95.6149378599817,89.2241459524621,95.4914855957031
2018-12-27 00:00:00-05:00,94.2949908502381,96.0897287120382,91.5411579303549,96.0802307128906
2018-12-28 00:00:00-05:00,96.9443674587872,97.2482454952393,94.5039031261272,95.3300552368164
2018-12-31 00:00:00-05:00,96.1846907544364,97.2387441109266,95.3775346715447,96.4505767822266
2019-01-02 00:00:00-05:00,94.5324098782934,96.6215209467692,93.9531549716534,96.0232772827148
2019-01-03 00:00:00-05:00,95.0546858073482,95.1401533294472,92.3008522600428,92.4907760620117
2019-01-04 00:00:00-05:00,94.6938259274108,97.3432027605251,93.943643333531,96.7924346923828
2019-01-07 00:00:00-05:00,96.5170492502419,98.0648899244905,95.8903189277603,96.9158782958984
2019-01-08 00:00:00-05:00,97.8465002464882,98.7296259673839,96.5835341815247,97.6185989379883
2019-01-09 00:00:00-05:00,98.6251495700999,99.5937353672523,98.0363967946697,99.0144805908203
2019-01-10 00:00:00-05:00,98.01741346293,98.5206987649144,97.219748134523,98.3782577514648
2019-01-11 00:00:00-05:00,97.9889412811202,98.2263405905561,96.5170626646767,97.6185989379883
2019-01-14 00:00:00-05:00,96.763931078218,97.6850412829325,96.1561896071415,96.9063720703125
2019-01-15 00:00:00-05:00,97.3432231943194,99.7552012538396,96.7449722466741,99.7172164916992
2019-01-16 00:00:00-05:00,99.9545954621096,100.904192587642,99.6697134265094,100.068542480469
2019-01-17 00:00:00-05:00,99.7076813952848,101.25552184118,99.4797801520821,100.77123260498
2019-01-18 00:00:00-05:00,102.043705761235,102.46153081286,100.571834570481,102.281105041504
